City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,makakilo city,21.35,-158.09,89.6,46,75,8.05,US,1604881210
111,luderitz,-26.65,15.16,59.99,76,0,20.94,NA,1604881210
112,husavik,66.04,-17.34,30.2,80,0,6.93,IS,1604881211
113,chokurdakh,70.63,147.92,-11.76,91,100,2.89,RU,1604881211
114,brae,60.4,-1.35,51.8,93,100,16.11,GB,1604881211
115,iqaluit,63.75,-68.51,19.4,79,90,13.87,CA,1604880944
116,cascais,38.7,-9.42,61.0,96,1,5.99,PT,1604881211
117,kaitangata,-46.28,169.85,55.0,78,96,11.99,NZ,1604881211
118,torbay,47.67,-52.73,37.0,51,90,12.75,CA,1604881211
119,sinnamary,5.38,-52.95,79.57,82,5,12.1,GF,1604881211
120,kruisfontein,-34.0,24.73,55.99,95,100,4.0,ZA,1604881212
121,ambovombe,-25.17,46.08,70.14,82,0,5.95,MG,1604881212
122,guerrero negro,27.98,-114.06,66.11,54,12,14.76,MX,1604881212
123,clyde river,70.47,-68.59,1.4,70,1,17.22,CA,1604881212
124,faanui,-16.48,-151.75,79.0,79,43,15.59,PF,1604881212
125,killybegs,54.63,-8.45,54.0,94,93,11.01,IE,1604881212
126,mogadishu,2.04,45.34,78.67,81,24,9.24,SO,1604881212
127,okato,-39.2,173.88,55.99,59,99,18.01,NZ,1604881212
128,mmathubudukwane,-24.6,26.43,68.0,82,75,5.82,BW,1604881213
129,vardo,70.37,31.11,30.2,80,40,9.17,NO,1604881213
130,umkomaas,-30.21,30.8,72.0,92,90,5.01,ZA,1604881213
131,hami,42.8,93.45,33.19,76,0,3.87,CN,1604881213
132,ancud,-41.87,-73.82,64.4,52,3,13.87,CL,1604881213
133,saldanha,-33.01,17.94,53.6,81,8,8.05,ZA,1604881213
134,trindade,-16.65,-49.49,80.6,61,20,3.36,BR,1604881213
135,punta alta,-38.88,-62.07,70.83,49,94,14.41,AR,1604881213
136,ginir,7.13,40.7,56.12,91,55,2.98,ET,1604881214
137,mazamari,-11.33,-74.53,79.07,47,46,2.24,PE,1604881214
138,souillac,-20.52,57.52,73.4,88,40,12.03,MU,1604881214
139,newton,42.34,-71.21,57.99,67,0,10.29,US,1604881214
140,rodrigues alves,-7.74,-72.65,78.53,74,62,3.36,BR,1604881214
141,touros,-5.2,-35.46,77.0,88,40,4.7,BR,1604881214
142,deputatskiy,69.3,139.9,-16.33,90,81,3.0,RU,1604881214
143,pangody,65.85,74.49,18.0,98,82,7.61,RU,1604881214
144,dibulla,11.27,-73.31,77.95,84,97,4.07,CO,1604881214
145,mehamn,71.04,27.85,34.29,88,98,7.43,NO,1604881215
146,luanda,-8.84,13.23,78.8,83,75,6.93,AO,1604881197
147,kralendijk,12.15,-68.27,84.2,79,20,4.7,BQ,1604881215
148,avera,33.19,-82.53,69.8,71,40,3.36,US,1604881215
149,kindu,-2.95,25.95,70.5,96,100,1.39,CD,1604880966
150,fukue,32.69,128.84,55.4,62,40,14.99,JP,1604881215
151,ternate,0.8,127.4,82.4,72,100,5.66,ID,1604881215
152,aklavik,68.22,-135.01,19.4,79,100,5.82,CA,1604881216
153,saint-augustin,51.23,-58.65,28.33,77,55,8.88,CA,1604881216
154,bredasdorp,-34.53,20.04,53.6,81,6,8.05,ZA,1604881216
155,dolores,-36.31,-57.68,57.06,92,64,7.99,AR,1604881094
156,puerto escondido,15.85,-97.07,86.0,66,40,6.93,MX,1604881143
